region,interval,power,emissions
SA1,2026-08-10 00:00:00+10:00,1928.439,19.919
SA1,2026-08-10 00:30:00+10:00,1933.7093166666666,19.7286
SA1,2026-08-10 01:00:00+10:00,1954.9640166666668,19.9446
SA1,2026-08-10 01:30:00+10:00,2085.91885,20.015
SA1,2026-08-10 02:00:00+10:00,2233.404466666667,20.0134
SA1,2026-08-10 02:30:00+10:00,2393.2197,19.8006
SA1,2026-08-10 03:00:00+10:00,2286.2696,19.968600000000002
SA1,2026-08-10 03:30:00+10:00,2293.1769666666664,19.967
SA1,2026-08-10 04:00:00+10:00,2271.6302333333333,20.111
SA1,2026-08-10 04:30:00+10:00,2352.985166666667,19.8966
SA1,2026-08-10 05:00:00+10:00,2339.7128666666667,19.968600000000002
SA1,2026-08-10 05:30:00+10:00,2317.480916666667,20.0023
SA1,2026-08-10 06:00:00+10:00,2283.7789666666667,20.1433
SA1,2026-08-10 06:30:00+10:00,2303.70015,23.6894
SA1,2026-08-10 07:00:00+10:00,2427.07575,26.7952
SA1,2026-08-10 07:30:00+10:00,2516.5378,26.8931
SA1,2026-08-10 08:00:00+10:00,2723.31355,27.2591
SA1,2026-08-10 08:30:00+10:00,2677.5947833333335,27.4164
SA1,2026-08-10 09:00:00+10:00,2613.1968333333334,26.8602
SA1,2026-08-10 09:30:00+10:00,2589.4565333333335,25.6933
SA1,2026-08-10 10:00:00+10:00,2581.774633333333,17.5953
SA1,2026-08-10 10:30:00+10:00,2494.8067833333334,12.1572
SA1,2026-08-10 11:00:00+10:00,2497.0644166666666,12.277199999999999
SA1,2026-08-10 11:30:00+10:00,2534.52635,11.8212
SA1,2026-08-10 12:00:00+10:00,2614.5632833333334,11.7724
SA1,2026-08-10 12:30:00+10:00,2683.8579833333333,11.965200000000001
SA1,2026-08-10 13:00:00+10:00,2626.43005,11.9893
SA1,2026-08-10 13:30:00+10:00,2456.0827166666663,11.7972
SA1,2026-08-10 14:00:00+10:00,2536.35755,11.581199999999999
SA1,2026-08-10 14:30:00+10:00,2610.86815,11.845199999999998
SA1,2026-08-10 15:00:00+10:00,2504.967133333333,11.8932
SA1,2026-08-10 15:30:00+10:00,2414.22195,12.0132
SA1,2026-08-10 16:00:00+10:00,2091.2190833333334,12.1572
SA1,2026-08-10 16:30:00+10:00,2107.9203,19.1048
SA1,2026-08-10 17:00:00+10:00,1868.1516333333332,43.5738
SA1,2026-08-10 17:30:00+10:00,1827.7660166666667,73.6978
SA1,2026-08-10 18:00:00+10:00,1890.5458500000002,105.3161
SA1,2026-08-10 18:30:00+10:00,2027.6948166666668,155.5759
SA1,2026-08-10 19:00:00+10:00,2109.2392,169.3804
SA1,2026-08-10 19:30:00+10:00,2007.5145,154.7308
SA1,2026-08-10 20:00:00+10:00,2081.7865166666666,155.9519
SA1,2026-08-10 20:30:00+10:00,1789.3234833333333,129.29489999999998
SA1,2026-08-10 21:00:00+10:00,1789.1517666666666,94.9135
SA1,2026-08-10 21:30:00+10:00,1748.0220333333334,95.6787
SA1,2026-08-10 22:00:00+10:00,1353.2686,80.216
SA1,2026-08-10 22:30:00+10:00,1003.5022166666666,56.4565
SA1,2026-08-10 23:00:00+10:00,898.7615333333333,42.7244
SA1,2026-08-10 23:30:00+10:00,921.3284333333332,37.2845
SA1,2026-08-11 00:00:00+10:00,994.4621833333334,31.523400000000002
SA1,2026-08-11 00:30:00+10:00,925.5262166666666,26.7185
SA1,2026-08-11 01:00:00+10:00,922.2025,24.683600000000002
SA1,2026-08-11 01:30:00+10:00,996.19825,24.324399999999997
SA1,2026-08-11 02:00:00+10:00,1105.3406833333333,24.186999999999998
SA1,2026-08-11 02:30:00+10:00,1138.4613,17.5027
SA1,2026-08-11 03:00:00+10:00,1195.8214166666667,11.9172
SA1,2026-08-11 03:30:00+10:00,1230.6901833333334,11.6532
SA1,2026-08-11 04:00:00+10:00,1240.3188333333335,11.7012
SA1,2026-08-11 04:30:00+10:00,1354.414,11.6772
SA1,2026-08-11 05:00:00+10:00,1304.91425,14.988199999999999
SA1,2026-08-11 05:30:00+10:00,1390.0732,18.0591
SA1,2026-08-11 06:00:00+10:00,1463.7034166666665,18.5387
SA1,2026-08-11 06:30:00+10:00,1650.10945,30.3046
SA1,2026-08-11 07:00:00+10:00,1886.1118666666669,38.4794
SA1,2026-08-11 07:30:00+10:00,2033.2337166666666,38.2239
SA1,2026-08-11 08:00:00+10:00,2345.764366666667,39.1058
SA1,2026-08-11 08:30:00+10:00,2143.2450666666664,34.379
SA1,2026-08-11 09:00:00+10:00,2137.3521333333333,33.1995
SA1,2026-08-11 09:30:00+10:00,2321.0728166666668,32.6394
SA1,2026-08-11 10:00:00+10:00,2542.63945,16.0222
SA1,2026-08-11 10:30:00+10:00,2775.783616666667,13.616999999999999
SA1,2026-08-11 11:00:00+10:00,2977.8723333333332,24.7961
SA1,2026-08-11 11:30:00+10:00,3070.4980166666664,33.863
SA1,2026-08-11 12:00:00+10:00,3195.3445166666666,34.2224
SA1,2026-08-11 12:30:00+10:00,3191.55615,23.0211
SA1,2026-08-11 13:00:00+10:00,3108.629816666667,8.9206
SA1,2026-08-11 13:30:00+10:00,3182.48925,8.6621
SA1,2026-08-11 14:00:00+10:00,3204.9342333333334,8.5948
SA1,2026-08-11 14:30:00+10:00,3035.8688333333334,8.5724
SA1,2026-08-11 15:00:00+10:00,2931.4101166666665,8.5723
SA1,2026-08-11 15:30:00+10:00,3008.418416666667,8.5381
SA1,2026-08-11 16:00:00+10:00,2828.50325,8.606
SA1,2026-08-11 16:30:00+10:00,2678.7746833333335,8.5944
SA1,2026-08-11 17:00:00+10:00,2560.13125,8.6172
SA1,2026-08-11 17:30:00+10:00,2475.3425,8.6172
SA1,2026-08-11 18:00:00+10:00,2445.0875666666666,8.5612
SA1,2026-08-11 18:30:00+10:00,2578.9607166666665,8.5723
SA1,2026-08-11 19:00:00+10:00,2536.947833333333,8.4935
SA1,2026-08-11 19:30:00+10:00,2531.254,8.5387
SA1,2026-08-11 20:00:00+10:00,2505.8377,8.5491
SA1,2026-08-11 20:30:00+10:00,2373.644733333333,8.4935
SA1,2026-08-11 21:00:00+10:00,2143.7786666666666,8.471
SA1,2026-08-11 21:30:00+10:00,2080.14015,8.5048
SA1,2026-08-11 22:00:00+10:00,2086.8578,8.5271
SA1,2026-08-11 22:30:00+10:00,2061.7720166666663,8.5271
SA1,2026-08-11 23:00:00+10:00,1961.6153833333335,8.4708
SA1,2026-08-11 23:30:00+10:00,1850.7104333333334,8.4934
SA1,2026-08-12 00:00:00+10:00,1677.7872166666666,8.482199999999999
SA1,2026-08-12 00:30:00+10:00,1523.6595,8.5048
SA1,2026-08-12 01:00:00+10:00,1578.5769833333334,8.482199999999999
SA1,2026-08-12 01:30:00+10:00,1747.4634666666668,8.5044
SA1,2026-08-12 02:00:00+10:00,1850.5114666666668,8.482199999999999
SA1,2026-08-12 02:30:00+10:00,1913.9107333333334,8.527000000000001
SA1,2026-08-12 03:00:00+10:00,1965.89145,8.482199999999999
SA1,2026-08-12 03:30:00+10:00,2004.2047666666667,8.5048
SA1,2026-08-12 04:00:00+10:00,2073.0715333333333,8.482199999999999
SA1,2026-08-12 04:30:00+10:00,2014.9660000000001,8.527000000000001
SA1,2026-08-12 05:00:00+10:00,1996.2922166666667,8.482199999999999
SA1,2026-08-12 05:30:00+10:00,1908.4105666666667,8.5831
SA1,2026-08-12 06:00:00+10:00,2014.0768333333333,8.5387
SA1,2026-08-12 06:30:00+10:00,2041.2159166666668,8.5611
SA1,2026-08-12 07:00:00+10:00,2651.8107,8.5274
SA1,2026-08-12 07:30:00+10:00,2954.2309,8.6172
SA1,2026-08-12 08:00:00+10:00,2925.195133333333,8.6172
SA1,2026-08-12 08:30:00+10:00,2576.745266666667,8.4935
SA1,2026-08-12 09:00:00+10:00,2142.42815,8.606
SA1,2026-08-12 09:30:00+10:00,2413.929833333333,8.6172
SA1,2026-08-12 10:00:00+10:00,2642.69315,8.5948
SA1,2026-08-12 10:30:00+10:00,2857.5874166666667,8.5944
SA1,2026-08-12 11:00:00+10:00,3149.6132833333336,8.639199999999999
SA1,2026-08-12 11:30:00+10:00,3149.333633333333,8.6621
SA1,2026-08-12 12:00:00+10:00,3164.624483333333,8.6396
