region,fueltech,interval,power,emissions
NSW1,battery,2026-08-10 00:00:00+10:00,10.633333333333331,0.0
NSW1,battery,2026-08-10 00:30:00+10:00,0.0,0.0
NSW1,battery,2026-08-10 01:00:00+10:00,1.6534666666666513,0.0
NSW1,battery,2026-08-10 01:30:00+10:00,1.3981666666666674,0.0
NSW1,battery,2026-08-10 02:00:00+10:00,0.9213999999999934,0.0
NSW1,battery,2026-08-10 02:30:00+10:00,0.167699999999984,0.0
NSW1,battery,2026-08-10 03:00:00+10:00,0.502666666666673,0.0
NSW1,battery,2026-08-10 03:30:00+10:00,0.3060666666666594,0.0
NSW1,battery,2026-08-10 04:00:00+10:00,0.24079999999999888,0.0
NSW1,battery,2026-08-10 04:30:00+10:00,0.6039666666666539,0.0
NSW1,battery,2026-08-10 05:00:00+10:00,3.541133333333324,0.0
NSW1,battery,2026-08-10 05:30:00+10:00,14.397233333333327,0.0
NSW1,battery,2026-08-10 06:00:00+10:00,14.228033333333348,0.0
NSW1,battery,2026-08-10 06:30:00+10:00,22.741933333333332,0.0
NSW1,battery,2026-08-10 07:00:00+10:00,307.4424333333333,0.0
NSW1,battery,2026-08-10 07:30:00+10:00,794.2572,0.0
NSW1,battery,2026-08-10 08:00:00+10:00,558.3800666666667,0.0
NSW1,battery,2026-08-10 08:30:00+10:00,298.4879,0.0
NSW1,battery,2026-08-10 09:00:00+10:00,78.80913333333334,0.0
NSW1,battery,2026-08-10 09:30:00+10:00,44.220066666666675,0.0
NSW1,battery,2026-08-10 10:00:00+10:00,26.834799999999976,0.0
NSW1,battery,2026-08-10 10:30:00+10:00,32.86896666666667,0.0
NSW1,battery,2026-08-10 11:00:00+10:00,12.352300000000016,0.0
NSW1,battery,2026-08-10 11:30:00+10:00,8.365499999999999,0.0
NSW1,battery,2026-08-10 12:00:00+10:00,2.7567666666666697,0.0
NSW1,battery,2026-08-10 12:30:00+10:00,7.6583666666666845,0.0
NSW1,battery,2026-08-10 13:00:00+10:00,12.73680000000001,0.0
NSW1,battery,2026-08-10 13:30:00+10:00,78.89983333333333,0.0
NSW1,battery,2026-08-10 14:00:00+10:00,0.0,0.0
NSW1,battery,2026-08-10 14:30:00+10:00,82.01526666666668,0.0
NSW1,battery,2026-08-10 15:00:00+10:00,17.470166666666668,0.0
NSW1,battery,2026-08-10 15:30:00+10:00,7.560599999999995,0.0
NSW1,battery,2026-08-10 16:00:00+10:00,73.2037,0.0
NSW1,battery,2026-08-10 16:30:00+10:00,429.6061666666667,0.0
NSW1,battery,2026-08-10 17:00:00+10:00,1696.2128,0.0
NSW1,battery,2026-08-10 17:30:00+10:00,2811.8893000000003,0.0
NSW1,battery,2026-08-10 18:00:00+10:00,2828.3114,0.0
NSW1,battery,2026-08-10 18:30:00+10:00,2897.3602666666666,0.0
NSW1,battery,2026-08-10 19:00:00+10:00,2388.0561333333335,0.0
NSW1,battery,2026-08-10 19:30:00+10:00,1874.0285333333334,0.0
NSW1,battery,2026-08-10 20:00:00+10:00,1492.2635,0.0
NSW1,battery,2026-08-10 20:30:00+10:00,1142.8616,0.0
NSW1,battery,2026-08-10 21:00:00+10:00,622.2889666666666,0.0
NSW1,battery,2026-08-10 21:30:00+10:00,324.6227666666667,0.0
NSW1,battery,2026-08-10 22:00:00+10:00,153.44926666666666,0.0
NSW1,battery,2026-08-10 22:30:00+10:00,92.21636666666666,0.0
NSW1,battery,2026-08-10 23:00:00+10:00,79.79493333333333,0.0
NSW1,battery,2026-08-10 23:30:00+10:00,25.9884,0.0
NSW1,bioenergy,2026-08-10 00:00:00+10:00,44.576750000000004,0.732
NSW1,bioenergy,2026-08-10 00:30:00+10:00,44.65773333333333,0.7331
NSW1,bioenergy,2026-08-10 01:00:00+10:00,42.775866666666666,0.7074
NSW1,bioenergy,2026-08-10 01:30:00+10:00,40.19341666666667,0.6674
NSW1,bioenergy,2026-08-10 02:00:00+10:00,40.1077,0.6688000000000001
NSW1,bioenergy,2026-08-10 02:30:00+10:00,39.81941666666666,0.6629
NSW1,bioenergy,2026-08-10 03:00:00+10:00,39.590849999999996,0.6589
NSW1,bioenergy,2026-08-10 03:30:00+10:00,39.8168,0.6628000000000001
NSW1,bioenergy,2026-08-10 04:00:00+10:00,39.416666666666664,0.6574
