C,SETP.WORLD,DVD_GENUNITS,AEMO,PUBLIC,2024/02/07,00:25:16,0000000410396561,,0000000410396500
I,PARTICIPANT_REGISTRATION,GENUNITS,2,GENSETID,STATIONID,SETLOSSFACTOR,CDINDICATOR,AGCFLAG,SPINNINGFLAG,VOLTLEVEL,REGISTEREDCAPACITY,DISPATCHTYPE,STARTTYPE,MKTGENERATORIND,NORMALSTATUS,MAXCAPACITY,GENSETTYPE,GENSETNAME,LASTCHANGED,CO2E_EMISSIONS_FACTOR,CO2E_ENERGY_SOURCE,CO2E_DATA_SOURCE
D,PARTICIPANT_REGISTRATION,GENUNITS,2,CALL_A_1,,,Y,N,Y,132,30,GROSS/NET,SLOW,Y,N,30,GENERATOR,,"2008/12/10 09:32:21",,,
D,PARTICIPANT_REGISTRATION,GENUNITS,2,CALL_A_3,,,Y,N,Y,132,30,GROSS/NET,SLOW,Y,N,30,GENERATOR,,"2008/12/10 09:32:21",,,
D,PARTICIPANT_REGISTRATION,GENUNITS,2,MRIDGE,,,Y,N,N,275,56,GROSS/NET,FAST,Y,N,56,GENERATOR,,"2008/12/10 09:32:21",,,
D,PARTICIPANT_REGISTRATION,GENUNITS,2,SWAN_A_1,,,Y,Y,Y,110,68,GROSS/NET,SLOW,Y,N,68,GENERATOR,,"2008/12/10 09:32:21",,,
D,PARTICIPANT_REGISTRATION,GENUNITS,2,SWAN_A_2,,,Y,Y,Y,110,68,GROSS/NET,SLOW,Y,N,68,GENERATOR,,"2008/12/10 09:32:21",,,
D,PARTICIPANT_REGISTRATION,GENUNITS,2,SWAN_A_3,,,Y,Y,Y,110,68,GROSS/NET,SLOW,Y,N,68,GENERATOR,,"2008/12/10 09:32:21",,,
D,PARTICIPANT_REGISTRATION,GENUNITS,2,SWAN_A_4,,,Y,Y,Y,110,68,GROSS/NET,SLOW,Y,N,68,GENERATOR,,"2008/12/10 09:32:21",,,
D,PARTICIPANT_REGISTRATION,GENUNITS,2,SWAN_A_5,,,Y,Y,Y,110,68,GROSS/NET,SLOW,Y,N,68,GENERATOR,,"2008/12/10 09:32:21",,,
D,PARTICIPANT_REGISTRATION,GENUNITS,2,SWAN_A_6,,,Y,Y,Y,110,68,GROSS/NET,SLOW,Y,N,68,GENERATOR,,"2008/12/10 09:32:21",,,
D,PARTICIPANT_REGISTRATION,GENUNITS,2,SWAN_B_1,,,Y,Y,Y,275,125,GROSS/NET,SLOW,Y,N,125,GENERATOR,,"2012/06/08 12:35:44",1.0910,"Black coal","NTNDP 2011"
D,PARTICIPANT_REGISTRATION,GENUNITS,2,SWAN_B_2,,,Y,Y,Y,275,125,GROSS/NET,SLOW,Y,N,125,GENERATOR,,"2012/06/08 12:35:44",1.0910,"Black coal","NTNDP 2011"
D,PARTICIPANT_REGISTRATION,GENUNITS,2,SWAN_B_3,,,Y,Y,Y,275,125,GROSS/NET,SLOW,Y,N,125,GENERATOR,,"2012/06/08 12:35:45",1.0910,"Black coal","NTNDP 2011"
D,PARTICIPANT_REGISTRATION,GENUNITS,2,SWAN_B_4,,,Y,Y,Y,275,125,GROSS/NET,SLOW,Y,N,125,GENERATOR,,"2012/06/08 12:35:45",1.0910,"Black coal","NTNDP 2011"
D,PARTICIPANT_REGISTRATION,GENUNITS,2,SWAN_C,,,Y,N,N,110,26,GROSS/NET,FAST,Y,N,26,GENERATOR,,"2008/12/10 09:32:21",,,
D,PARTICIPANT_REGISTRATION,GENUNITS,2,WG01,,,N,N,Y,132,50,GROSS/NET,,Y,N,50,GENERATOR,,"2012/06/08 12:35:48",0,Hydro,"NTNDP 2011"
D,PARTICIPANT_REGISTRATION,GENUNITS,2,GE01,,,Y,Y,Y,275,25,GROSS/NET,FAST,Y,N,25,GENERATOR,,"2008/12/10 09:32:21",,,
D,PARTICIPANT_REGISTRATION,GENUNITS,2,GE02,,,Y,Y,Y,275,25,GROSS/NET,FAST,Y,N,25,GENERATOR,,"2008/12/10 09:32:21",,,
D,PARTICIPANT_REGISTRATION,GENUNITS,2,GE03,,,Y,Y,Y,275,25,GROSS/NET,FAST,N,N,25,GENERATOR,,"2008/12/10 09:32:21",,,
D,PARTICIPANT_REGISTRATION,GENUNITS,2,GE04,,,Y,Y,Y,275,25,GROSS/NET,FAST,N,N,25,GENERATOR,,"2008/12/10 09:32:21",,,
D,PARTICIPANT_REGISTRATION,GENUNITS,2,GK01,,,Y,Y,Y,275,24,GROSS/NET,FAST,Y,N,24,GENERATOR,,"2008/12/10 09:32:21",,,
D,PARTICIPANT_REGISTRATION,GENUNITS,2,GK02,,,Y,Y,Y,275,24,GROSS/NET,FAST,N,N,24,GENERATOR,,"2008/12/10 09:32:21",,,
D,PARTICIPANT_REGISTRATION,GENUNITS,2,GK03,,,Y,Y,Y,275,24,GROSS/NET,FAST,N,N,24,GENERATOR,,"2008/12/10 09:32:21",,,
D,PARTICIPANT_REGISTRATION,GENUNITS,2,GK04,,,Y,Y,Y,275,24,GROSS/NET,FAST,N,N,24,GENERATOR,,"2008/12/10 09:32:21",,,
D,PARTICIPANT_REGISTRATION,GENUNITS,2,GB02,,,N,N,Y,22,25,GROSS/NET,,N,N,25,GENERATOR,,"2008/12/10 09:32:21",,,
D,PARTICIPANT_REGISTRATION,GENUNITS,2,PTH02,,,N,N,N,220,110,GROSS/NET,,N,Y,110,LOAD,,"2005/11/23 09:55:53",,,
D,PARTICIPANT_REGISTRATION,GENUNITS,2,PTH03,,,N,N,N,220,130,GROSS/NET,,N,Y,130,LOAD,,"2005/11/23 09:55:53",,,
D,PARTICIPANT_REGISTRATION,GENUNITS,2,CLOVER1,,,Y,N,N,66,12,GROSS/NET,FAST,Y,N,12,GENERATOR,,"2008/12/10 09:32:21",,,
D,PARTICIPANT_REGISTRATION,GENUNITS,2,CLOVER2,,,Y,N,N,66,12,GROSS/NET,FAST,Y,N,12,GENERATOR,,"2008/12/10 09:32:21",,,
D,PARTICIPANT_REGISTRATION,GENUNITS,2,ROCKY-GT,,,N,N,Y,132,25,GROSS/NET,FAST,N,N,25,GENERATOR,,"2008/12/10 09:32:21",,,
D,PARTICIPANT_REGISTRATION,GENUNITS,2,SNOWY1,,,Y,Y,Y,330,3756,GROSS/NET,FAST,Y,N,3756,GENERATOR,,"2008/12/10 09:32:21",,,
D,PARTICIPANT_REGISTRATION,GENUNITS,2,SNOWY2,,,Y,Y,Y,330,3756,GROSS/NET,FAST,Y,N,3756,GENERATOR,,"2008/12/10 09:32:21",,,
D,PARTICIPANT_REGISTRATION,GENUNITS,2,SNOWY3,,,Y,Y,Y,330,3756,GROSS/NET,FAST,Y,N,3756,GENERATOR,,"2008/12/10 09:32:21",,,
D,PARTICIPANT_REGISTRATION,GENUNITS,2,SNOWY4,,,Y,Y,Y,330,3756,GROSS/NET,FAST,Y,N,3756,GENERATOR,,"2008/12/10 09:32:21",,,
D,PARTICIPANT_REGISTRATION,GENUNITS,2,SNOWY5,,,Y,Y,Y,330,3756,GROSS/NET,FAST,Y,N,3756,GENERATOR,,"2008/12/10 09:32:21",,,
D,PARTICIPANT_REGISTRATION,GENUNITS,2,SNOWY6,,,Y,Y,Y,330,3756,GROSS/NET,FAST,Y,N,3756,GENERATOR,,"2008/12/10 09:32:21",,,
D,PARTICIPANT_REGISTRATION,GENUNITS,2,SNOWYP,,,Y,N,Y,330,600,GROSS/NET,SLOW,Y,N,600,LOAD,,"2011/06/28 15:55:21",,,
D,PARTICIPANT_REGISTRATION,GENUNITS,2,SNUG4,,,Y,N,N,132,21,GROSS/NET,FAST,Y,N,26,GENERATOR,,"2008/12/10 09:32:21",,,
D,PARTICIPANT_REGISTRATION,GENUNITS,2,STHJST,,,N,N,N,22,18,GROSS/NET,SLOW,N,N,18,GENERATOR,,"2008/12/10 09:32:21",,,
D,PARTICIPANT_REGISTRATION,GENUNITS,2,BHASZINC,,,N,N,N,132,22,GROSS/NET,,N,Y,22,LOAD,,"2005/11/23 09:55:53",,,
D,PARTICIPANT_REGISTRATION,GENUNITS,2,SHGEN2,,,N,N,N,330,40,GROSS/NET,,N,N,40,GENERATOR,,"2008/12/10 09:32:21",,,
D,PARTICIPANT_REGISTRATION,GENUNITS,2,VICSMLT,,,N,N,N,500,300,GROSS/NET,,N,Y,300,LOAD,,"2005/11/23 09:55:53",,,
D,PARTICIPANT_REGISTRATION,GENUNITS,2,BLOWER,,,N,N,N,330,80,GROSS/NET,,N,N,80,GENERATOR,,"2008/12/04 11:22:50",,,
D,PARTICIPANT_REGISTRATION,GENUNITS,2,GUTH-1,,,N,N,N,330,30,GROSS/NET,,N,N,30,GENERATOR,,"2011/06/28 15:55:21",,,
D,PARTICIPANT_REGISTRATION,GENUNITS,2,GUTH-2,,,N,N,N,330,30,GROSS/NET,,N,N,30,GENERATOR,,"2011/06/28 15:55:21",,,
D,PARTICIPANT_REGISTRATION,GENUNITS,2,TBLD,,,N,N,N,66,7,GROSS/NET,SLOW,N,N,7,GENERATOR,,"2008/12/10 09:32:21",,,
D,PARTICIPANT_REGISTRATION,GENUNITS,2,SWANNL1,,,N,N,N,330,25,GROSS/NET,FAST,Y,N,25,GENERATOR,,"2008/12/10 09:32:21",,,
D,PARTICIPANT_REGISTRATION,GENUNITS,2,BAYNL1,,,N,N,N,330,25,GROSS/NET,FAST,Y,N,25,GENERATOR,,"2008/12/10 09:32:21",,,
D,PARTICIPANT_REGISTRATION,GENUNITS,2,KARYNL1,,,N,N,N,330,25,GROSS/NET,FAST,Y,N,25,GENERATOR,,"2008/12/10 09:32:21",,,
D,PARTICIPANT_REGISTRATION,GENUNITS,2,MURR1-10,,,N,N,N,330,95,GROSS/NET,,N,N,95,GENERATOR,,"2011/06/28 15:55:21",,,
D,PARTICIPANT_REGISTRATION,GENUNITS,2,MURR1-2,,,N,N,N,330,95,GROSS/NET,,N,N,95,GENERATOR,,"2011/06/28 15:55:21",,,
D,PARTICIPANT_REGISTRATION,GENUNITS,2,MURR1-3,,,N,N,N,330,95,GROSS/NET,,N,N,95,GENERATOR,,"2011/06/28 15:55:21",,,
D,PARTICIPANT_REGISTRATION,GENUNITS,2,MURR1-4,,,N,N,N,330,95,GROSS/NET,,N,N,95,GENERATOR,,"2011/06/28 15:55:21",,,
D,PARTICIPANT_REGISTRATION,GENUNITS,2,MURR1-6,,,N,N,N,330,95,GROSS/NET,,N,N,95,GENERATOR,,"2011/06/28 15:55:21",,,
D,PARTICIPANT_REGISTRATION,GENUNITS,2,MURR1-7,,,N,N,N,330,95,GROSS/NET,,N,N,95,GENERATOR,,"2011/06/28 15:55:21",,,
D,PARTICIPANT_REGISTRATION,GENUNITS,2,MURR1-8,,,N,N,N,330,95,GROSS/NET,,N,N,95,GENERATOR,,"2011/06/28 15:55:21",,,
D,PARTICIPANT_REGISTRATION,GENUNITS,2,MURR1-9,,,N,N,N,330,95,GROSS/NET,,N,N,95,GENERATOR,,"2011/06/28 15:55:21",,,
D,PARTICIPANT_REGISTRATION,GENUNITS,2,MURR2-1,,,N,N,N,330,138,GROSS/NET,,N,N,138,GENERATOR,,"2011/06/28 15:55:21",,,
D,PARTICIPANT_REGISTRATION,GENUNITS,2,MURR2-3,,,N,N,N,330,138,GROSS/NET,,N,N,138,GENERATOR,,"2011/06/28 15:55:21",,,
